uid,n_neurons,T,dt_sec,unique_loops,loop_switches,segments,validation_score_mean,validation_score_std,recon_corr_full,phase_frac_small,phase_var,phase_speed_bins_per_min,median_d,mean_segment_len,split_idx,mean_pre,mean_post,post_slope,d_peak,recon_corr_post
2022-06-14-01,109,1600,0.601592789804031,2,30,31,12.3244448673279,0.809368204214367,0.541497617526944,0.959922430510666,0.712903411936974,24.5375315072142,24.3319730732813,60.5,NaN,NaN,NaN,NaN,NaN,NaN
2022-06-14-07,130,1600,0.601576680591736,3,13,14,11.9781032840826,0.980457344917539,0.651173693269873,0.996803069053708,0.0414062896292626,3.22346852971664,26.8055119815162,112.714285714286,NaN,NaN,NaN,NaN,NaN,NaN
2022-06-14-13,134,1600,0.60156673102769,2,9,10,12.5842281008631,0.737083811727558,0.550615425680496,0.996811224489796,0.11129905057109,9.22812135736868,27.3414007095728,157.8,NaN,NaN,NaN,NaN,NaN,NaN
2022-06-28-01,142,1600,0.601592789777002,3,10,11,12.4364840885869,0.762130952607642,0.594479995894474,0.970006381620932,0.32247724255294,15.1056539006251,27.46308258934,143.454545454545,NaN,NaN,NaN,NaN,NaN,NaN
2022-06-28-07,142,1600,0.601552517117794,2,30,31,12.6841720206379,0.691799839924728,0.530665944464194,0.990950226244344,0.204807368265249,12.7841794541828,27.9544747636473,54.3448275862069,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-15-06,128,1600,0.601570205794507,2,9,10,12.2670727298196,0.473020413924173,0.62208710600405,0.997448979591837,0.05916959157626,5.11968159173978,26.6709180365113,157.8,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-15-12,132,1600,0.601569573860033,3,15,16,12.6642209086802,0.653834279168731,0.533702476456275,0.852112676056338,1.71221048262671,55.7477025605132,26.8778471121864,98.625,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-20-01,144,1600,0.601574548575989,4,46,47,12.6634699888948,0.646227398776023,0.565251268540927,0.996734160679295,0.0637380839555503,5.2694307794389,28.3642351430098,39.275,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-26-01,133,1600,0.601572700799749,3,20,21,12.6057571007554,0.775115563446042,0.569862500197732,0.917148362235067,0.627999762247948,26.5632205146077,27.6273426117169,78.85,NaN,NaN,NaN,NaN,NaN,NaN
2022-08-02-01,152,1600,0.601566730841634,2,11,12,12.711455604616,0.792680870313485,0.564209813272154,0.9757343550447,0.623816810089799,21.2373203906497,28.5712168595519,131.5,NaN,NaN,NaN,NaN,NaN,NaN
2023-01-09-28,145,1615,0.601566427155043,3,14,15,12.2127360989753,0.605118507452786,0.706055526467946,0.996197718631179,0.109764252125573,9.84231210085416,28.3491012452591,122.384615384615,NaN,NaN,NaN,NaN,NaN,NaN
2023-01-17-01,138,1615,0.601570933227181,3,15,16,12.3764085877503,0.840262640989595,0.613882963302003,0.977805960684845,0.271821456276617,11.7155572255779,27.6130914722624,106.133333333333,NaN,NaN,NaN,NaN,NaN,NaN
2023-01-19-01,124,1600,0.601582366315732,2,1,2,12.2491865519318,0.828006281065182,0.586201335373044,0.951776649746193,0.919150753363945,32.1079713022616,25.9180810844535,789,NaN,NaN,NaN,NaN,NaN,NaN
2023-01-19-08,147,1600,0.601566731024666,3,12,13,12.5345644007803,0.723513013593821,0.66011236414225,0.963578274760383,0.532049385944128,20.0364004815108,28.4765900384038,121.384615384615,NaN,NaN,NaN,NaN,NaN,NaN
2023-01-19-15,144,1600,0.601587056685262,2,1,2,12.7685321101675,0.707258315140246,0.567698722057941,0.991116751269036,0.232355168801869,9.98625967094351,28.5742672609984,789,NaN,NaN,NaN,NaN,NaN,NaN
2023-01-19-22,153,1600,0.601566731050002,2,3,4,12.5752688033559,0.625512423956676,0.642230690941583,0.97712833545108,0.328129707880199,14.0950072781979,29.6144932339675,394.5,NaN,NaN,NaN,NaN,NaN,NaN
2023-01-23-01,151,1600,0.601566731001442,2,15,16,12.6202877931009,0.601487821190685,0.614873384632437,0.989756722151088,0.230470880726675,20.4156383463023,28.5974358735232,98.625,NaN,NaN,NaN,NaN,NaN,NaN
2023-01-23-08,143,1600,0.601586630505878,6,15,16,11.4528734403694,1.15830404516155,0.778397568054679,0.989756722151088,0.0637399611693809,4.30061231008828,27.838628060828,105.133333333333,NaN,NaN,NaN,NaN,NaN,NaN
2023-01-23-15,147,1600,0.601565167360091,2,3,4,12.7032672948392,0.749447240467748,0.623109262659132,0.986022871664549,0.343702214384898,18.1517613311546,28.7020765150558,525.666666666667,NaN,NaN,NaN,NaN,NaN,NaN
2023-01-23-21,126,1600,0.601582366272122,2,17,18,12.3385935460919,0.685760501214365,0.612292931864146,0.992307692307692,0.290778112202102,20.8575404143985,26.5067510535951,87.6666666666667,NaN,NaN,NaN,NaN,NaN,NaN
2023-03-07-01,153,1600,0.601598001482155,3,23,24,12.7809480530968,0.722564662855429,0.556235782339535,0.818532818532819,1.58518448537765,57.7675650939766,28.854385334736,65.75,NaN,NaN,NaN,NaN,NaN,NaN
