uid,n_neurons,T,dt_sec,split_idx,unique_loops,loop_switches,segments,mean_pre,mean_post,post_slope,d_peak,phase_frac_small,phase_var,cycles_per_min,median_d,mean_segment_len
2022-06-14-01,109,1600,0.601592789804031,801,2,6,7,0.423647462178382,19.0461932204958,0.0644538061468791,50.2952287936881,0.96439923712651,0.485982442262805,0.54868947813126,30.17450007187,225.714285714286
2022-06-14-07,130,1600,0.601576680591736,801,3,24,25,-0.47576889113976,21.3735940426231,0.0594257406490158,78.5449034258981,0.947266881028939,0.485192863971002,0.308807823482894,32.0530070036113,65.7916666666667
2022-06-14-13,134,1600,0.60156673102769,801,2,30,31,0.443263488721153,33.7542523198971,0.112452166065071,80.8102573571658,0.977404777275662,0.308818058829318,0.744429881188037,34.0803834062339,54.4137931034483
2022-06-28-01,142,1600,0.601592789777002,801,2,59,60,0.0927548570149523,38.4058788085047,0.146935442377573,93.5219815407966,0.966447368421053,0.450881379716573,0.493545273232177,36.4944372344918,31.4
2022-06-28-07,142,1600,0.601552517117794,801,1,0,1,0.267196697625285,28.2879995378518,0.0511015341035126,95.2113424733242,0.965167827739075,0.753392715384351,0.908069040679167,38.0573955378752,1580
2022-07-15-06,128,1600,0.601570205794507,801,1,0,1,0.433057973635576,39.2722510550681,0.0617112157227925,113.761211083809,0.965167827739075,0.333511527647009,0.500151663019362,37.3809273837494,1580
2022-07-15-12,132,1600,0.601569573860033,801,1,0,1,0.515866746377726,22.7116701124971,0.0271684936556785,48.2149904229326,0.973400886637112,0.482731606453847,0.72837697342244,38.0923265002964,1580
2022-07-20-01,144,1600,0.601574548575989,801,2,4,5,0.483625023640701,26.7571869386035,0.0590216398054629,51.6929218079645,0.972698412698413,0.405504527944171,0.529282890416782,36.5981095803017,316
2022-07-26-01,133,1600,0.601572700799749,801,2,1,2,0.418455035021894,30.0679436772855,0.0779374144278642,56.288957666369,0.96958174904943,0.403921469347469,0.0534140337398456,36.8442573782246,790
2022-08-02-01,152,1600,0.601566730841634,801,2,8,9,0.599218804562937,31.4557393840658,0.0561033766744289,53.8486951725477,0.994271164863144,0.0604604961746949,0.171342821609527,40.3427664127544,175.555555555556
2023-01-09-28,145,1615,0.601566427155043,801,2,25,26,0.578009482313416,38.0596668313758,0.0730932667198914,75.9864526744531,0.930528999362651,1.60638763153446,0.813945330814217,39.4067265449758,66.375
2023-01-17-01,138,1615,0.601570933227181,801,2,10,11,0.332411823844509,21.0388793276536,0.0427298830819832,43.3239382646135,0.97979797979798,0.224225435019811,0.368476206625022,35.8836784682274,159.4
2023-01-19-01,124,1600,0.601582366315732,801,4,26,27,-0.0070677371471051,33.787238206802,0.124304431025349,83.0054272822886,0.989053444945267,0.0947127608021728,0.35236359027082,34.6488288491742,65.7083333333333
2023-01-19-08,147,1600,0.601566731024666,801,3,12,13,-0.00707003801314888,33.8399715150506,0.10660079958131,78.8986065078493,0.985960433950223,0.0715132754830834,0.0901804323986287,36.3375523603837,121.538461538462
2023-01-19-15,144,1600,0.601587056685262,801,3,38,39,-0.0279710277616568,26.1742545142282,0.0545295338502857,44.3110227547962,0.973393900064893,0.273965294925705,0.126649128075137,34.7402497797419,46.3235294117647
2023-01-19-22,153,1600,0.601566731050002,801,3,22,23,-0.0666012296742434,32.0688676947399,0.11679066071177,77.5403316594162,0.970456005138086,0.299248109128194,0.294775979565454,35.8027046576211,71.7727272727273
2023-01-23-01,151,1600,0.601566731001442,801,3,36,37,0.329955942583714,30.8519800165253,0.0924246173278269,69.0744817913791,0.987686325340246,0.163894009429642,0.820641934859204,37.2174311032554,42.7027027027027
2023-01-23-08,143,1600,0.601586630505878,801,2,14,15,0.148309223316134,45.4415209157632,0.064983955652259,88.43827523563,0.993610223642173,0.0893816951700798,0.106960987536634,34.8474153644868,121.384615384615
2023-01-23-15,147,1600,0.601565167360091,801,3,34,35,0.0156384735348955,39.060560096003,0.0909307004219465,67.9286603673006,0.98705501618123,0.150883679594882,0.280917666493758,42.6373676356566,47.8181818181818
2023-01-23-21,126,1600,0.601582366272122,801,2,61,62,0.234862675675926,22.5239907686771,0.0467623477968875,43.4298636260876,0.980895915678524,0.422540587439846,0.952294391931047,34.7572061630926,29.6415094339623
2023-03-07-01,153,1600,0.601598001482155,801,2,28,29,0.667496613801246,37.2950949857976,0.120853942362492,72.0923339430635,0.978723404255319,0.166235311245606,0.603175538180374,36.9881284510776,54.4827586206897
